Date,Year,Game #,Round,Region,W.Seed,Winner,W. Score,L. Seed,Loser,L.Score
3/20/2003,2003,5,1,NW,6,Missouri,72,11,Southern Illinois,71
3/20/2003,2003,6,1,NW,3,Marquette,72,14,Holy Cross,68
3/21/2003,2003,7,1,NW,7,Indiana,67,10,Alabama,62
3/21/2003,2003,8,1,NW,2,Pittsburgh,87,15,Wagner,61
3/20/2003,2003,9,1,SW,1,Arizona,80,16,Vermont,51
3/20/2003,2003,10,1,SW,9,Gonzaga,74,8,Cincinnati,69
3/20/2003,2003,11,1,SW,5,Notre Dame,70,12,Milwaukee,69
3/20/2003,2003,12,1,SW,4,Illinois,65,13,Western Kentucky,60
3/20/2003,2003,13,1,SW,11,Central Michigan,79,6,Creighton,73
3/20/2003,2003,14,1,SW,3,Duke,67,14,Colorado St.,57
3/20/2003,2003,15,1,SW,10,Arizona St.,84,7,Memphis,71
3/20/2003,2003,16,1,SW,2,Kansas,64,15,Utah St.,61
3/21/2003,2003,17,1,NE,1,Texas,82,16,UNC Asheville,61
3/21/2003,2003,18,1,NE,9,Purdue,80,8,LSU,56
3/20/2003,2003,19,1,NE,5,Connecticut,58,12,BYU,53
3/20/2003,2003,20,1,NE,4,Stanford,77,13,San Diego,69
3/21/2003,2003,21,1,NE,6,Maryland,75,11,UNC Wilmington,73
3/21/2003,2003,22,1,NE,3,Xavier,71,14,Troy,59
3/21/2003,2003,23,1,NE,7,Michigan St.,79,10,Colorado,64
3/21/2003,2003,24,1,NE,2,Florida,85,15,Sam Houston St.,55
3/20/2003,2003,25,1,SE,1,Oklahoma,71,16,South Carolina St.,54
3/20/2003,2003,26,1,SE,8,California,76,9,North Carolina St.,74
3/21/2003,2003,27,1,SE,12,Butler,47,5,Mississippi St.,46
3/21/2003,2003,28,1,SE,4,Louisville,86,13,Austin Peay,64
3/21/2003,2003,29,1,SE,6,Oklahoma St.,77,11,Penn,63
3/21/2003,2003,30,1,SE,3,Syracuse,76,14,Manhattan,65
3/21/2003,2003,31,1,SE,10,Auburn,65,7,Saint Joseph's,63
3/21/2003,2003,32,1,SE,2,Wake Forest,76,15,East Tennessee St.,73
3/23/2003,2003,33,2,NW,1,Kentucky,74,9,Utah,54
3/22/2003,2003,34,2,NW,5,Wisconsin,61,13,Tulsa,60
3/22/2003,2003,35,2,NW,3,Marquette,101,6,Missouri,92
3/23/2003,2003,36,2,NW,2,Pittsburgh,74,7,Indiana,52
3/22/2003,2003,37,2,SW,1,Arizona,96,9,Gonzaga,95
3/22/2003,2003,38,2,SW,5,Notre Dame,68,4,Illinois,60
3/22/2003,2003,39,2,SW,3,Duke,86,11,Central Michigan,60
3/22/2003,2003,40,2,SW,2,Kansas,108,10,Arizona St.,76
3/23/2003,2003,41,2,NE,1,Texas,77,9,Purdue,67
3/22/2003,2003,42,2,NE,5,Connecticut,85,4,Stanford,74
3/23/2003,2003,43,2,NE,6,Maryland,77,3,Xavier,64
3/23/2003,2003,44,2,NE,7,Michigan St.,68,2,Florida,46
3/22/2003,2003,45,2,SE,1,Oklahoma,74,8,California,65
3/23/2003,2003,46,2,SE,12,Butler,79,4,Louisville,71
3/23/2003,2003,47,2,SE,3,Syracuse,68,6,Oklahoma St.,56
3/23/2003,2003,48,2,SE,10,Auburn,68,2,Wake Forest,62
3/27/2003,2003,49,3,NW,1,Kentucky,63,5,Wisconsin,57
3/27/2003,2003,50,3,NW,3,Marquette,77,2,Pittsburgh,74
3/27/2003,2003,51,3,SW,1,Arizona,88,5,Notre Dame,71
3/27/2003,2003,52,3,SW,2,Kansas,69,3,Duke,65
3/28/2003,2003,53,3,NE,1,Texas,82,5,Connecticut,78
3/28/2003,2003,54,3,NE,7,Michigan St.,60,6,Maryland,58
3/28/2003,2003,55,3,SE,1,Oklahoma,65,12,Butler,54
3/28/2003,2003,56,3,SE,3,Syracuse,79,10,Auburn,78
3/29/2003,2003,57,4,NW,3,Marquette,83,1,Kentucky,69
3/29/2003,2003,58,4,SW,2,Kansas,78,1,Arizona,75
3/30/2003,2003,59,4,NE,1,Texas,85,7,Michigan St.,76
3/30/2003,2003,60,4,SE,3,Syracuse,63,1,Oklahoma,47
4/5/2003,2003,61,5,F4,2,Kansas,94,3,Marquette,61
4/5/2003,2003,62,5,F4,3,Syracuse,95,1,Texas,84
4/7/2003,2003,63,6,Champ,3,Syracuse,81,2,Kansas,78
3/16/2004,2004,-1,PI,PI,16,Florida A&M,72,16,Lehigh,57
3/19/2004,2004,1,1,NW,1,Kentucky,96,16,Florida A&M,76
3/19/2004,2004,2,1,NW,9,UAB,102,8,Washington,100
3/19/2004,2004,3,1,NW,12,Pacific,66,5,Providence,58
3/19/2004,2004,4,1,NW,4,Kansas,78,13,Illinois Chicago,53
3/19/2004,2004,5,1,NW,6,Boston College,58,11,Utah,51
3/19/2004,2004,6,1,NW,3,Georgia Tech,65,14,Northern Iowa,60
3/18/2004,2004,7,1,NW,10,Nevada,72,7,Michigan St.,66
3/18/2004,2004,8,1,NW,2,Gonzaga,76,15,Valparaiso,49
3/18/2004,2004,9,1,SW,1,Saint Joseph's,82,16,Liberty,63
3/18/2004,2004,10,1,SW,8,Texas Tech,76,9,Charlotte,73
3/18/2004,2004,11,1,SW,12,Manhattan,75,5,Florida,60
3/18/2004,2004,12,1,SW,4,Wake Forest,79,13,VCU,78
3/19/2004,2004,13,1,SW,6,Wisconsin,76,11,Richmond,64
3/19/2004,2004,14,1,SW,3,Pittsburgh,53,14,UCF,44
3/19/2004,2004,15,1,SW,7,Memphis,59,10,South Carolina,43
3/19/2004,2004,16,1,SW,2,Oklahoma St.,75,15,Eastern Washington,56
3/18/2004,2004,17,1,NE,1,Duke,96,16,Alabama St.,61
3/18/2004,2004,18,1,NE,8,Seton Hall,80,9,Arizona,76
3/19/2004,2004,19,1,NE,5,Illinois,72,12,Murray St.,53
3/19/2004,2004,20,1,NE,4,Cincinnati,80,13,East Tennessee St.,77
3/18/2004,2004,21,1,NE,6,North Carolina,63,11,Air Force,52
3/18/2004,2004,22,1,NE,3,Texas,66,14,Princeton,49
3/19/2004,2004,23,1,NE,7,Xavier,80,10,Louisville,70
3/19/2004,2004,24,1,NE,2,Mississippi St.,85,15,Monmouth,52
3/18/2004,2004,25,1,SE,1,Stanford,71,16,UTSA,45
3/18/2004,2004,26,1,SE,8,Alabama,65,9,Southern Illinois,64
3/18/2004,2004,27,1,SE,5,Syracuse,80,12,BYU,75
3/18/2004,2004,28,1,SE,4,Maryland,86,13,UTEP,83
3/19/2004,2004,29,1,SE,6,Vanderbilt,71,11,Western Michigan,58
3/19/2004,2004,30,1,SE,3,North Carolina St.,61,14,Lafayette,52
3/18/2004,2004,31,1,SE,7,DePaul,76,10,Dayton,69
3/18/2004,2004,32,1,SE,2,Connecticut,70,15,Vermont,53
3/21/2004,2004,33,2,NW,9,UAB,76,1,Kentucky,75
3/21/2004,2004,34,2,NW,4,Kansas,78,12,Pacific,63
3/21/2004,2004,35,2,NW,3,Georgia Tech,57,6,Boston College,54
3/20/2004,2004,36,2,NW,10,Nevada,91,2,Gonzaga,72
3/20/2004,2004,37,2,SW,1,Saint Joseph's,70,8,Texas Tech,65
3/20/2004,2004,38,2,SW,4,Wake Forest,84,12,Manhattan,80
3/21/2004,2004,39,2,SW,3,Pittsburgh,59,6,Wisconsin,55
3/21/2004,2004,40,2,SW,2,Oklahoma St.,70,7,Memphis,53
3/20/2004,2004,41,2,NE,1,Duke,90,8,Seton Hall,62
3/21/2004,2004,42,2,NE,5,Illinois,92,4,Cincinnati,68
3/20/2004,2004,43,2,NE,3,Texas,78,6,North Carolina,75
3/21/2004,2004,44,2,NE,7,Xavier,89,2,Mississippi St.,74
3/20/2004,2004,45,2,SE,8,Alabama,70,1,Stanford,67
3/20/2004,2004,46,2,SE,5,Syracuse,72,4,Maryland,70
3/21/2004,2004,47,2,SE,6,Vanderbilt,75,3,North Carolina St.,73
3/20/2004,2004,48,2,SE,2,Connecticut,72,7,DePaul,55
3/26/2004,2004,49,3,NW,4,Kansas,100,9,UAB,74
3/26/2004,2004,50,3,NW,3,Georgia Tech,72,10,Nevada,67
3/25/2004,2004,51,3,SW,1,Saint Joseph's,84,4,Wake Forest,80
3/25/2004,2004,52,3,SW,2,Oklahoma St.,63,3,Pittsburgh,51
3/26/2004,2004,53,3,NE,1,Duke,72,5,Illinois,62
3/26/2004,2004,54,3,NE,7,Xavier,79,3,Texas,71
3/25/2004,2004,55,3,SE,8,Alabama,80,5,Syracuse,71
3/25/2004,2004,56,3,SE,2,Connecticut,73,6,Vanderbilt,53
3/28/2004,2004,57,4,NW,3,Georgia Tech,79,4,Kansas,71
3/27/2004,2004,58,4,SW,2,Oklahoma St.,64,1,Saint Joseph's,62
3/28/2004,2004,59,4,NE,1,Duke,66,7,Xavier,63
3/27/2004,2004,60,4,SE,2,Connecticut,87,8,Alabama,71
4/3/2004,2004,61,5,F4,3,Georgia Tech,67,2,Oklahoma St.,65
4/3/2004,2004,62,5,F4,2,Connecticut,79,1,Duke,78
4/5/2004,2004,63,6,Champ,2,Connecticut,82,3,Georgia Tech,73
3/15/2005,2005,-1,PI,PI,16,Oakland,79,16,Alabama A&M,69
3/17/2005,2005,1,1,NW,1,Illinois,67,16,Fairleigh Dickinson,55
3/17/2005,2005,2,1,NW,9,Nevada,61,8,Texas,57
3/17/2005,2005,3,1,NW,12,Milwaukee,83,5,Alabama,73
3/17/2005,2005,4,1,NW,4,Boston College,85,13,Penn,65
3/17/2005,2005,5,1,NW,11,UAB,82,6,LSU,68
3/17/2005,2005,6,1,NW,3,Arizona,66,14,Utah St.,53
3/18/2005,2005,7,1,NW,7,Southern Illinois,65,10,Saint Mary's,56
3/18/2005,2005,8,1,NW,2,Oklahoma St.,63,15,Southeastern Louisiana,50
3/17/2005,2005,9,1,SW,1,Washington,88,16,Montana,77
3/17/2005,2005,10,1,SW,8,Pacific,79,9,Pittsburgh,71
3/18/2005,2005,11,1,SW,5,Georgia Tech,80,12,George Washington,68
3/18/2005,2005,12,1,SW,4,Louisville,68,13,Lafayette,62
3/17/2005,2005,13,1,SW,6,Texas Tech,78,11,UCLA,66
3/17/2005,2005,14,1,SW,3,Gonzaga,74,14,Winthrop,64
3/17/2005,2005,15,1,SW,7,West Virginia,63,10,Creighton,61
3/17/2005,2005,16,1,SW,2,Wake Forest,70,15,Chattanooga,54
3/18/2005,2005,17,1,NE,1,North Carolina,96,16,Oakland,68
3/18/2005,2005,18,1,NE,9,Iowa St.,64,8,Minnesota,53
3/18/2005,2005,19,1,NE,5,Villanova,55,12,New Mexico,47
3/18/2005,2005,20,1,NE,4,Florida,67,13,Ohio,62
3/18/2005,2005,21,1,NE,6,Wisconsin,57,11,Northern Iowa,52
3/18/2005,2005,22,1,NE,14,Bucknell,64,3,Kansas,63
3/18/2005,2005,23,1,NE,10,North Carolina St.,75,7,Charlotte,63
3/18/2005,2005,24,1,NE,2,Connecticut,77,15,UCF,71
3/18/2005,2005,25,1,SE,1,Duke,57,16,Delaware St.,46
3/18/2005,2005,26,1,SE,9,Mississippi St.,93,8,Stanford,70
3/18/2005,2005,27,1,SE,5,Michigan St.,89,12,Old Dominion,81
3/18/2005,2005,28,1,SE,13,Vermont,60,4,Syracuse,57
3/17/2005,2005,29,1,SE,6,Utah,60,11,UTEP,54
3/17/2005,2005,30,1,SE,3,Oklahoma,84,14,Niagara,67
3/17/2005,2005,31,1,SE,7,Cincinnati,76,10,Iowa,64
3/17/2005,2005,32,1,SE,2,Kentucky,72,15,Eastern Kentucky,64
3/19/2005,2005,33,2,NW,1,Illinois,71,9,Nevada,59
3/19/2005,2005,34,2,NW,12,Milwaukee,83,4,Boston College,75
3/19/2005,2005,35,2,NW,3,Arizona,85,11,UAB,63
3/20/2005,2005,36,2,NW,2,Oklahoma St.,85,7,Southern Illinois,77
3/19/2005,2005,37,2,SW,1,Washington,97,8,Pacific,79
3/20/2005,2005,38,2,SW,4,Louisville,76,5,Georgia Tech,54
3/19/2005,2005,39,2,SW,6,Texas Tech,71,3,Gonzaga,69
3/19/2005,2005,40,2,SW,7,West Virginia,111,2,Wake Forest,105
3/20/2005,2005,41,2,NE,1,North Carolina,92,9,Iowa St.,65
3/20/2005,2005,42,2,NE,5,Villanova,76,4,Florida,65
3/20/2005,2005,43,2,NE,6,Wisconsin,71,14,Bucknell,62
3/20/2005,2005,44,2,NE,10,North Carolina St.,65,2,Connecticut,62
3/20/2005,2005,45,2,SE,1,Duke,63,9,Mississippi St.,55
3/20/2005,2005,46,2,SE,5,Michigan St.,72,13,Vermont,61
3/19/2005,2005,47,2,SE,6,Utah,67,3,Oklahoma,58
3/19/2005,2005,48,2,SE,2,Kentucky,69,7,Cincinnati,60
3/24/2005,2005,49,3,NW,1,Illinois,77,12,Milwaukee,63
3/24/2005,2005,50,3,NW,3,Arizona,79,2,Oklahoma St.,78
3/24/2005,2005,51,3,SW,4,Louisville,93,1,Washington,79
3/24/2005,2005,52,3,SW,7,West Virginia,65,6,Texas Tech,60
3/25/2005,2005,53,3,NE,1,North Carolina,67,5,Villanova,66
3/25/2005,2005,54,3,NE,6,Wisconsin,65,10,North Carolina St.,56
3/25/2005,2005,55,3,SE,5,Michigan St.,78,1,Duke,68
3/25/2005,2005,56,3,SE,2,Kentucky,62,6,Utah,52
3/26/2005,2005,57,4,NW,1,Illinois,90,3,Arizona,89
3/26/2005,2005,58,4,SW,4,Louisville,93,7,West Virginia,85
3/27/2005,2005,59,4,NE,1,North Carolina,88,6,Wisconsin,82
3/27/2005,2005,60,4,SE,5,Michigan St.,94,2,Kentucky,88
4/2/2005,2005,61,5,F4,1,Illinois,72,4,Louisville,57
4/2/2005,2005,62,5,F4,1,North Carolina,87,5,Michigan St.,71
4/4/2005,2005,63,6,Champ,1,North Carolina,75,1,Illinois,70
3/14/2006,2006,-1,PI,PI,16,Monmouth,71,16,Hampton,49
3/16/2006,2006,1,1,NW,1,Duke,70,16,Southern,54
3/16/2006,2006,2,1,NW,8,George Washington,88,9,UNC Wilmington,85
3/16/2006,2006,3,1,NW,12,Texas A&M,66,5,Syracuse,58
3/16/2006,2006,4,1,NW,4,LSU,80,13,Iona,64
3/17/2006,2006,5,1,NW,6,West Virginia,64,11,Southern Illinois,46
3/17/2006,2006,6,1,NW,14,Northwestern St.,64,3,Iowa,63
3/17/2006,2006,7,1,NW,10,North Carolina St.,58,7,California,52
3/17/2006,2006,8,1,NW,2,Texas,60,15,Penn,52
3/17/2006,2006,9,1,SW,1,Memphis,94,16,Oral Roberts,78
3/17/2006,2006,10,1,SW,9,Bucknell,59,8,Arkansas,55
3/17/2006,2006,11,1,SW,5,Pittsburgh,79,12,Kent St.,64
3/17/2006,2006,12,1,SW,13,Bradley,77,4,Kansas,73
3/16/2006,2006,13,1,SW,6,Indiana,87,11,San Diego St.,83
3/16/2006,2006,14,1,SW,3,Gonzaga,79,14,Xavier,75
3/16/2006,2006,15,1,SW,10,Alabama,90,7,Marquette,85
3/16/2006,2006,16,1,SW,2,UCLA,78,15,Belmont,44
3/17/2006,2006,17,1,NE,1,Connecticut,72,16,Albany,59
3/17/2006,2006,18,1,NE,8,Kentucky,69,9,UAB,64
3/16/2006,2006,19,1,NE,5,Washington,75,12,Utah St.,61
3/16/2006,2006,20,1,NE,4,Illinois,78,13,Air Force,69
3/17/2006,2006,21,1,NE,11,George Mason,75,6,Michigan St.,65
3/17/2006,2006,22,1,NE,3,North Carolina,69,14,Murray St.,65
3/16/2006,2006,23,1,NE,7,Wichita St.,86,10,Seton Hall,66
3/16/2006,2006,24,1,NE,2,Tennessee,63,15,Winthrop,61
3/17/2006,2006,25,1,SE,1,Villanova,58,16,Monmouth,45
3/17/2006,2006,26,1,SE,8,Arizona,94,9,Wisconsin,75
3/16/2006,2006,27,1,SE,12,Montana,87,5,Nevada,79
3/16/2006,2006,28,1,SE,4,Boston College,88,13,Pacific,76
3/16/2006,2006,29,1,SE,11,Milwaukee,82,6,Oklahoma,74
3/16/2006,2006,30,1,SE,3,Florida,76,14,South Alabama,50
3/17/2006,2006,31,1,SE,7,Georgetown,54,10,Northern Iowa,49
3/17/2006,2006,32,1,SE,2,Ohio St.,70,15,Davidson,62
3/18/2006,2006,33,2,NW,1,Duke,74,8,George Washington,61
3/18/2006,2006,34,2,NW,4,LSU,58,12,Texas A&M,57
3/19/2006,2006,35,2,NW,6,West Virginia,67,14,Northwestern St.,54
3/19/2006,2006,36,2,NW,2,Texas,75,10,North Carolina St.,54
3/19/2006,2006,37,2,SW,1,Memphis,72,9,Bucknell,56
3/19/2006,2006,38,2,SW,13,Bradley,72,5,Pittsburgh,66
3/18/2006,2006,39,2,SW,3,Gonzaga,90,6,Indiana,80
3/18/2006,2006,40,2,SW,2,UCLA,62,10,Alabama,59
3/19/2006,2006,41,2,NE,1,Connecticut,87,8,Kentucky,83
3/18/2006,2006,42,2,NE,5,Washington,67,4,Illinois,64
3/19/2006,2006,43,2,NE,11,George Mason,65,3,North Carolina,60
3/18/2006,2006,44,2,NE,7,Wichita St.,80,2,Tennessee,73
3/19/2006,2006,45,2,SE,1,Villanova,82,8,Arizona,78
3/18/2006,2006,46,2,SE,4,Boston College,69,12,Montana,56
3/18/2006,2006,47,2,SE,3,Florida,82,11,Milwaukee,60
3/19/2006,2006,48,2,SE,7,Georgetown,70,2,Ohio St.,52
3/23/2006,2006,49,3,NW,4,LSU,62,1,Duke,54
3/23/2006,2006,50,3,NW,2,Texas,74,6,West Virginia,71
3/23/2006,2006,51,3,SW,1,Memphis,80,13,Bradley,64
3/23/2006,2006,52,3,SW,2,UCLA,73,3,Gonzaga,71
3/24/2006,2006,53,3,NE,1,Connecticut,98,5,Washington,92
3/24/2006,2006,54,3,NE,11,George Mason,63,7,Wichita St.,55
3/24/2006,2006,55,3,SE,1,Villanova,60,4,Boston College,59
3/24/2006,2006,56,3,SE,3,Florida,57,7,Georgetown,53
3/25/2006,2006,57,4,NW,4,LSU,70,2,Texas,60
3/25/2006,2006,58,4,SW,2,UCLA,50,1,Memphis,45
3/26/2006,2006,59,4,NE,11,George Mason,86,1,Connecticut,84
3/26/2006,2006,60,4,SE,3,Florida,75,1,Villanova,62
4/1/2006,2006,61,5,F4,2,UCLA,59,4,LSU,45
4/1/2006,2006,62,5,F4,3,Florida,73,11,George Mason,58
4/3/2006,2006,63,6,Champ,3,Florida,73,2,UCLA,57
3/15/2007,2007,,1,,7,Boston College,84,10,Texas Tech,75
3/15/2007,2007,,1,,5,Butler,57,12,Old Dominion,46
3/16/2007,2007,,1,,1,Florida,112,16,Jackson St.,69
3/15/2007,2007,,1,,2,Georgetown,80,15,Belmont,55
3/15/2007,2007,,1,,7,Indiana,70,10,Gonzaga,57
3/16/2007,2007,,1,,1,Kansas,107,16,Niagara,67
3/16/2007,2007,,1,,8,Kentucky,67,9,Villanova,58
3/15/2007,2007,,1,,6,Louisville,78,11,Stanford,58
3/15/2007,2007,,1,,4,Maryland,82,13,Davidson,70
3/16/2007,2007,,1,,2,Memphis,73,15,North Texas,58
3/15/2007,2007,,1,,9,Michigan St.,61,8,Marquette,49
3/16/2007,2007,,1,,7,Nevada,77,10,Creighton,71
3/15/2007,2007,,1,,1,North Carolina,86,16,Eastern Kentucky,65
3/15/2007,2007,,1,,1,Ohio St.,78,16,Central Connecticut,57
3/16/2007,2007,,1,,3,Oregon,58,14,Miami OH,56
3/15/2007,2007,,1,,3,Pittsburgh,79,14,Wright St.,58
3/16/2007,2007,,1,,9,Purdue,72,8,Arizona,63
3/16/2007,2007,,1,,4,Southern Illinois,61,13,Holy Cross,51
3/16/2007,2007,,1,,5,Tennessee,121,12,Long Beach St.,86
3/16/2007,2007,,1,,4,Texas,79,13,New Mexico St.,67
3/15/2007,2007,,1,,3,Texas A&M,68,14,Penn,52
3/15/2007,2007,,1,,2,UCLA,70,15,Weber St.,42
3/16/2007,2007,,1,,7,UNLV,67,10,Georgia Tech,63
3/16/2007,2007,,1,,5,USC,77,12,Arkansas,60
3/15/2007,2007,,1,,6,Vanderbilt,77,11,George Washington,44
3/15/2007,2007,,1,,11,VCU,79,6,Duke,77
3/16/2007,2007,,1,,4,Virginia,84,13,Albany,57
3/16/2007,2007,,1,,5,Virginia Tech,54,12,Illinois,52
3/15/2007,2007,,1,,3,Washington St.,70,14,Oral Roberts,54
3/16/2007,2007,,1,,11,Winthrop,74,6,Notre Dame,64
3/16/2007,2007,,1,,2,Wisconsin,76,15,Texas A&M Corpus Chris,63
3/15/2007,2007,,1,,9,Xavier,79,8,BYU,77
3/17/2007,2007,,2,,5,Butler,62,4,Maryland,59
3/18/2007,2007,,2,,1,Florida,74,9,Purdue,67
3/17/2007,2007,,2,,2,Georgetown,62,7,Boston College,55
3/18/2007,2007,,2,,1,Kansas,88,8,Kentucky,76
3/18/2007,2007,,2,,2,Memphis,78,7,Nevada,62
3/17/2007,2007,,2,,1,North Carolina,81,9,Michigan St.,67
3/17/2007,2007,,2,,1,Ohio St.,78,9,Xavier,71
3/18/2007,2007,,2,,3,Oregon,75,11,Winthrop,61
3/17/2007,2007,,2,,3,Pittsburgh,84,11,VCU,79
3/18/2007,2007,,2,,4,Southern Illinois,63,5,Virginia Tech,48
3/18/2007,2007,,2,,5,Tennessee,77,4,Virginia,74
3/17/2007,2007,,2,,3,Texas A&M,72,6,Louisville,69
3/17/2007,2007,,2,,2,UCLA,54,7,Indiana,49
3/18/2007,2007,,2,,7,UNLV,74,2,Wisconsin,68
3/18/2007,2007,,2,,5,USC,87,4,Texas,68
3/17/2007,2007,,2,,6,Vanderbilt,78,3,Washington St.,74
3/23/2007,2007,,3,,1,Florida,65,5,Butler,57
3/23/2007,2007,,3,,2,Georgetown,66,6,Vanderbilt,65
3/22/2007,2007,,3,,1,Kansas,61,4,Southern Illinois,58
3/22/2007,2007,,3,,2,Memphis,65,3,Texas A&M,64
3/23/2007,2007,,3,,1,North Carolina,74,5,USC,64
3/22/2007,2007,,3,,1,Ohio St.,85,5,Tennessee,84
3/23/2007,2007,,3,,3,Oregon,76,7,UNLV,72
3/22/2007,2007,,3,,2,UCLA,64,3,Pittsburgh,55
3/25/2007,2007,,4,,1,Florida,85,3,Oregon,77
3/25/2007,2007,,4,,2,Georgetown,96,1,North Carolina,84
3/24/2007,2007,,4,,1,Ohio St.,92,2,Memphis,76
3/24/2007,2007,,4,,2,UCLA,68,1,Kansas,55
3/31/2007,2007,,5,F4,1,Florida,76,2,UCLA,66
3/31/2007,2007,,5,F4,1,Ohio St.,67,2,Georgetown,60
4/2/2007,2007,,6,Champ,1,Florida,84,1,Ohio St.,75
3/13/2007,2007,,PI,PI,16,Niagara,77,16,Florida A&M,69
3/21/2008,2008,,1,,9,Arkansas,86,8,Indiana,72
3/21/2008,2008,,1,,7,Butler,81,10,South Alabama,61
3/21/2008,2008,,1,,10,Davidson,82,7,Gonzaga,76
3/20/2008,2008,,1,,2,Duke,71,15,Belmont,70
3/21/2008,2008,,1,,2,Georgetown,66,15,UMBC,47
3/20/2008,2008,,1,,1,Kansas,85,16,Portland St.,61
3/20/2008,2008,,1,,11,Kansas St.,80,6,USC,67
3/21/2008,2008,,1,,3,Louisville,79,14,Boise St.,61
3/20/2008,2008,,1,,6,Marquette,74,11,Kentucky,66
3/21/2008,2008,,1,,1,Memphis,87,16,UT Arlington,63
3/21/2008,2008,,1,,7,Miami FL,78,10,Saint Mary's,64
3/20/2008,2008,,1,,5,Michigan St.,72,12,Temple,61
3/21/2008,2008,,1,,8,Mississippi St.,76,9,Oregon,69
3/21/2008,2008,,1,,1,North Carolina,113,16,Mount St. Mary's,74
3/20/2008,2008,,1,,5,Notre Dame,68,12,George Mason,50
3/21/2008,2008,,1,,6,Oklahoma,72,11,Saint Joseph's,64
3/20/2008,2008,,1,,4,Pittsburgh,82,13,Oral Roberts,63
3/20/2008,2008,,1,,6,Purdue,90,11,Baylor,79
3/21/2008,2008,,1,,13,San Diego,70,4,Connecticut,69
3/21/2008,2008,,1,,13,Siena,83,4,Vanderbilt,62
3/20/2008,2008,,1,,3,Stanford,77,14,Cornell,53
3/21/2008,2008,,1,,2,Tennessee,72,15,American,57
3/21/2008,2008,,1,,2,Texas,74,15,Austin Peay,54
3/20/2008,2008,,1,,9,Texas A&M,67,8,BYU,62
3/20/2008,2008,,1,,1,UCLA,70,16,Mississippi Valley St.,29
3/20/2008,2008,,1,,8,UNLV,71,9,Kent St.,58
3/21/2008,2008,,1,,12,Villanova,75,5,Clemson,69
3/20/2008,2008,,1,,4,Washington St.,71,13,Winthrop,40
3/20/2008,2008,,1,,7,West Virginia,75,10,Arizona,65
3/21/2008,2008,,1,,12,Western Kentucky,101,5,Drake,99
3/20/2008,2008,,1,,3,Wisconsin,71,14,Cal St. Fullerton,56
3/20/2008,2008,,1,,3,Xavier,73,14,Georgia,61
3/23/2008,2008,,2,,10,Davidson,74,2,Georgetown,70
3/22/2008,2008,,2,,1,Kansas,75,8,UNLV,56
3/23/2008,2008,,2,,3,Louisville,78,6,Oklahoma,48
3/23/2008,2008,,2,,1,Memphis,77,8,Mississippi St.,74
3/22/2008,2008,,2,,5,Michigan St.,65,4,Pittsburgh,54
3/23/2008,2008,,2,,1,North Carolina,108,9,Arkansas,77
3/22/2008,2008,,2,,3,Stanford,82,6,Marquette,81
3/23/2008,2008,,2,,2,Tennessee,76,7,Butler,71
3/23/2008,2008,,2,,2,Texas,75,7,Miami FL,72
3/22/2008,2008,,2,,1,UCLA,53,9,Texas A&M,49
3/23/2008,2008,,2,,12,Villanova,84,13,Siena,72
3/22/2008,2008,,2,,4,Washington St.,61,5,Notre Dame,41
3/22/2008,2008,,2,,7,West Virginia,73,2,Duke,67
3/23/2008,2008,,2,,12,Western Kentucky,72,13,San Diego,63
3/22/2008,2008,,2,,3,Wisconsin,72,11,Kansas St.,55
3/22/2008,2008,,2,,3,Xavier,85,6,Purdue,78
3/28/2008,2008,,3,,10,Davidson,73,3,Wisconsin,56
3/28/2008,2008,,3,,1,Kansas,72,12,Villanova,57
3/27/2008,2008,,3,,3,Louisville,79,2,Tennessee,60
3/28/2008,2008,,3,,1,Memphis,92,5,Michigan St.,74
3/27/2008,2008,,3,,1,North Carolina,68,4,Washington St.,47
3/28/2008,2008,,3,,2,Texas,82,3,Stanford,62
3/27/2008,2008,,3,,1,UCLA,88,12,Western Kentucky,78
3/27/2008,2008,,3,,3,Xavier,79,7,West Virginia,75
3/30/2008,2008,,4,,1,Kansas,59,10,Davidson,57
3/30/2008,2008,,4,,1,Memphis,85,2,Texas,67
3/29/2008,2008,,4,,1,North Carolina,83,3,Louisville,73
3/29/2008,2008,,4,,1,UCLA,76,3,Xavier,57
4/5/2008,2008,,5,F4,1,Kansas,84,1,North Carolina,66
4/5/2008,2008,,5,F4,1,Memphis,78,1,UCLA,63
4/7/2008,2008,,6,Champ,1,Kansas,75,1,Memphis,68
3/18/2008,2008,,PI,PI,16,Mount St. Mary's,69,16,Coppin St.,60
3/20/2009,2009,,1,,12,Arizona,84,5,Utah,71
3/20/2009,2009,,1,,6,Arizona St.,66,11,Temple,57
3/20/2009,2009,,1,,13,Cleveland St.,84,4,Wake Forest,69
3/19/2009,2009,,1,,1,Connecticut,103,16,Chattanooga,47
3/20/2009,2009,,1,,11,Dayton,68,6,West Virginia,60
3/19/2009,2009,,1,,2,Duke,86,15,Binghamton,62
3/19/2009,2009,,1,,4,Gonzaga,77,13,Akron,64
3/20/2009,2009,,1,,3,Kansas,84,14,North Dakota St.,74
3/20/2009,2009,,1,,1,Louisville,74,16,Morehead St.,54
3/19/2009,2009,,1,,8,LSU,75,9,Butler,71
3/20/2009,2009,,1,,6,Marquette,58,11,Utah St.,57
3/19/2009,2009,,1,,10,Maryland,84,7,California,71
